equipment_name,cleaned_name,brand_name,product_name,product_category,instrument_type,equipment_urls
Big Joe Stomp Box Company R-403 Vintage Overdrive,Big Joe Stomp Box Company R-403 Vintage Overdrive,,,,Guitar,/items/big-joe-stomp-box-company-r-403-vintage-overdrive
Big Joe Vintage Tube,Big Joe Vintage Tube,,,,Guitar,/items/big-joe-vintage-tube
Bigfoot FX Magnavibe,Bigfoot FX Magnavibe,,,,Guitar,/items/bigfoot-fx-magnavibe
Binson Echorec,Binson Echorec,,,,Guitar,/items/binson-echorec
Bixonic Expandora EXP-2000R,Bixonic Expandora EXP-2000R,,,,Guitar,/items/bixonic-expandora-exp-2000r
Biyang FZ-10 Baby Boom Fuzz Star,Biyang FZ-10 Baby Boom Fuzz Star,,,,Guitar,/items/biyang-fz-10-baby-boom-fuzz-star
Biyang RV-10 Tri Reverb,Biyang RV-10 Tri Reverb,,,,Guitar,/items/biyang-rv-10-tri-reverb
BJFE Honey Bee,BJFE Honey Bee,,,,Guitar,/items/bjfe-honey-bee
BK Butler Tube Driver,BK Butler Tube Driver,,,,Guitar,/items/bk-butler-tube-driver
Black Arts Toneworks Destroyer,Black Arts Toneworks Destroyer,,,,Guitar,/items/black-arts-toneworks-destroyer
Black Arts Toneworks LSTR,Black Arts Toneworks LSTR,,,,Guitar,/items/black-arts-toneworks-lstr
Black Arts Toneworks Pharaoh Fuzz,Black Arts Toneworks Pharaoh Fuzz,,,,Guitar,/items/black-arts-toneworks-pharaoh-fuzz
Black Arts Toneworks Pharaoh Supreme,Black Arts Toneworks Pharaoh Supreme,,,,Guitar,/items/black-arts-toneworks-pharaoh-supreme
Black Arts Toneworks Quantum Mystic,Black Arts Toneworks Quantum Mystic,,,,Guitar,/items/black-arts-toneworks-quantum-mystic
Black Cat Pedals Bass Octave Fuzz,Black Cat Pedals Bass Octave Fuzz,,,,Guitar,/items/black-cat-pedals-bass-octave-fuzz
Black Cat Pedals Custom K-Fuzz Effects Pedal,Black Cat Pedals Custom K-Fuzz Effects Pedal,,,,Guitar,/items/black-cat-pedals-custom-k-fuzz-effects-pedal
Black Cat Pedals Super Fuzz,Black Cat Pedals Super Fuzz,,,,Guitar,/items/black-cat-pedals-super-fuzz
Black Cat Pedals Wee Buzz,Black Cat Pedals Wee Buzz,,,,Guitar,/items/black-cat-pedals-wee-buzz
Black Out Effectors Mantra,Black Out Effectors Mantra,,,,Guitar,/items/black-out-effectors-mantra
Blackarts Toneworks Oath,Black Arts Toneworks Oath,,,,Guitar,/items/blackarts-toneworks-oath
Blackout Effectors Cadavernous,Blackout Effectors Cadavernous,,,,Guitar,/items/blackout-effectors-cadavernous
Blackout Effectors Musket,Blackout Effectors Musket,,,,Guitar,/items/blackout-effectors-musket
Blackout Effectors Twosome Dual Fuzz,Blackout Effectors Twosome Dual Fuzz,,,,Guitar,/items/blackout-effectors-twosome-dual-fuzz
Blackout Effectors Whetstone Analog Phaser,Blackout Effectors Whetstone Analog Phaser,,,,Guitar,/items/blackout-effectors-whetstone-analog-phaser
Blackstar HT Boost Valve Boost Pedal,Blackstar HT Boost Valve Boost Pedal,,,,Guitar,/items/blackstar-ht-boost-valve-boost-pedal
Blackstar HT Series HT-DUAL Tube Dual Distortion Guitar Effects Pedal,Blackstar HT Series HT-DUAL Tube Dual Distortion Guitar Effects Pedal,,,,Guitar,/items/blackstar-ht-series-ht-dual-tube-dual-distortion-guitar-effects-pedal
Blackstar HT-Delay Effects Pedal,Blackstar HT-Delay Effects Pedal,,,,Guitar,/items/blackstar-ht-delay-effects-pedal
Blackstar HT-DRIVE Tube Overdrive Pedal,Blackstar HT-DRIVE Tube Overdrive Pedal,,,,Guitar,/items/blackstar-ht-drive-tube-overdrive-pedal
Blackstar HT-Modulation,Blackstar HT-Modulation,,,,Guitar,/items/blackstar-ht-modulation
Blackstar LT Dual,Blackstar LT Dual,,,,Guitar,/items/blackstar-lt-dual
